date,segment,sample.no,worms,crabs,mollusks,fishfry
28.1.20,7,2,3,0,0,0
28.1.20,7,3,3,0,0,0
28.1.20,7,4,7,0,0,0
28.1.20,7,5,7,1,0,0
28.1.20,7,6,10,0,0,0
29.1.20,23,1,16,0,0,0
29.1.20,23,2,12,0,0,1
29.1.20,23,3,2,0,1,0
29.1.20,23,4,6,0,0,0
29.1.20,23,5,10,0,0,0
29.1.20,23,6,11,0,0,0
30.1.20,158,1,6,0,0,0
30.1.20,158,2,3,0,0,0
30.1.20,158,3,2,0,0,0
30.1.20,158,4,5,0,0,0
30.1.20,158,5,7,0,0,0
30.1.20,158,6,10,0,0,0
31.1.20,30,1,2,1,10,0
31.1.20,30,2,11,0,3,0
31.1.20,30,3,4,3,8,0
31.1.20,30,4,7,2,3,0
31.1.20,30,5,6,0,4,0
31.1.20,30,6,0,0,0,0
1.2.20,124,1,2,0,0,0
1.2.20,124,2,3,0,0,0
1.2.20,124,3,5,0,0,0
1.2.20,124,4,2,0,0,0
1.2.20,124,5,4,0,0,0
1.2.20,124,6,12,0,0,0
2.2.20,122,1,2,0,0,0
2.2.20,122,2,5,0,0,0
2.2.20,122,3,3,0,0,0
2.2.20,122,4,9,0,0,0
2.2.20,122,5,5,0,0,0
2.2.20,122,6,11,0,0,0
3.2.20,121,1,3,0,0,0
3.2.20,121,2,5,0,0,0
3.2.20,121,3,2,0,0,0
3.2.20,121,4,10,0,1,0
3.2.20,121,5,1,1,15,0
3.2.20,121,6,0,0,0,0
4.2.20,119,1,1,0,1,0
4.2.20,119,2,1,0,0,0
4.2.20,119,3,18,0,3,0
4.2.20,119,4,0,0,2,0
4.2.20,119,5,13,0,0,0
4.2.20,119,6,3,0,8,0
5.2.20,118,1,3,0,0,0
5.2.20,118,2,2,0,0,0
5.2.20,118,3,5,0,0,0
5.2.20,118,4,9,0,0,0
5.2.20,118,5,6,0,0,0
5.2.20,118,6,9,0,2,0
11.2.20,12,1,10,0,5,0
11.2.20,12,2,8,0,3,0
11.2.20,12,3,4,1,0,0
11.2.20,12,4,3,0,0,0
11.2.20,12,5,3,0,0,0
11.2.20,12,6,3,1,0,0
12.2.20,14,1,5,0,0,0
12.2.20,14,2,6,0,0,0
12.2.20,14,3,8,0,3,0
12.2.20,14,4,8,0,0,0
12.2.20,14,5,2,0,0,0
12.2.20,14,6,8,1,0,0
13.2.20,156,1,0,0,6,0
13.2.20,156,2,0,0,7,0
13.2.20,156,3,5,2,15,0
13.2.20,156,4,2,1,10,0
13.2.20,156,5,3,0,12,0
13.2.20,156,6,0,0,0,0
14.2.20,18,1,3,0,0,0
14.2.20,18,2,21,0,0,0
14.2.20,18,3,11,0,0,0
14.2.20,18,4,0,2,3,0
14.2.20,18,5,3,0,0,0
14.2.20,18,6,2,0,0,0
15.2.20,152,1,11,0,0,0
15.2.20,152,2,9,0,0,0
15.2.20,152,3,3,0,0,0
15.2.20,152,4,6,0,0,0
15.2.20,152,5,4,0,0,0
15.2.20,152,6,12,0,0,0
16.2.20,154,1,9,0,0,0
16.2.20,154,2,2,0,0,0
16.2.20,154,3,2,1,0,0
16.2.20,154,4,1,0,0,0
16.2.20,154,5,1,0,0,0
16.2.20,154,6,2,0,0,0
17.2.20,163,1,19,0,0,0
17.2.20,163,2,5,0,0,0
17.2.20,163,3,8,0,0,0
17.2.20,163,4,8,0,0,0
17.2.20,163,5,5,0,0,0
17.2.20,163,6,21,0,0,0
18.2.20,151,1,2,0,0,0
18.2.20,151,2,4,0,0,0
18.2.20,151,3,1,0,0,0
18.2.20,151,4,2,0,0,0
18.2.20,151,5,1,0,0,0
18.2.20,151,6,2,0,0,0
19.2.20,4,1,4,0,0,0
19.2.20,4,2,2,0,0,0
19.2.20,4,3,1,0,0,0
19.2.20,4,4,3,0,0,0
19.2.20,4,5,7,0,0,0
19.2.20,4,6,10,0,0,0
3.3.20,27,1,16,0,0,0
3.3.20,27,2,9,0,0,0
3.3.20,27,3,9,0,1,0
3.3.20,27,4,5,0,0,0
3.3.20,27,5,11,0,0,0
3.3.20,27,6,8,0,2,0
4.3.20,9,1,10,0,0,0
4.3.20,9,2,6,0,2,0
4.3.20,9,3,0,0,2,0
4.3.20,9,4,3,0,0,0
4.3.20,9,5,4,0,10,0
4.3.20,9,6,8,0,4,0
10.3.20,5,1,9,0,4,0
10.3.20,5,2,5,1,0,0
10.3.20,5,3,5,0,0,0
10.3.20,5,4,4,0,3,0
10.3.20,5,5,2,2,0,0
10.3.20,5,6,3,1,4,0
6.3.20,2,1,12,1,4,0
6.3.20,2,2,3,0,0,0
6.3.20,2,3,3,0,0,0
6.3.20,2,4,2,0,1,0
6.3.20,2,5,1,0,0,0
6.3.20,2,6,8,1,1,0
12.3.20,16,1,2,0,21,0
12.3.20,16,2,1,2,18,0
12.3.20,16,3,4,0,8,0
12.3.20,16,4,0,3,9,0
12.3.20,16,5,2,1,7,0
12.3.20,16,6,4,0,5,0
7.3.20,1,1,0,4,0,0
7.3.20,1,2,0,2,0,0
7.3.20,1,3,10,0,0,0
7.3.20,1,4,4,0,1,0
7.3.20,1,5,3,0,0,0
7.3.20,1,6,10,0,2,0
15.3.20,162,1,1,0,2,0
15.3.20,162,2,3,0,2,0
15.3.20,162,3,6,0,2,0
15.3.20,162,4,10,0,2,0
15.3.20,162,5,3,0,1,0
15.3.20,162,6,6,2,1,0
17.3.20,165,1,2,1,0,0
17.3.20,165,2,4,0,3,0
17.3.20,165,3,6,0,1,0
17.3.20,165,4,3,2,1,0
17.3.20,165,5,7,0,3,0
17.3.20,165,6,0,0,6,0
29.2.20,160,1,17,0,0,0
29.2.20,160,2,16,5,0,0
29.2.20,160,3,15,0,0,0
29.2.20,160,4,18,0,0,0
29.2.20,160,5,16,0,0,0
29.2.20,160,6,9,0,0,0
11.3.20,117,1,1,0,0,0
11.3.20,117,2,1,0,0,0
11.3.20,117,3,3,0,0,0
11.3.20,117,4,5,0,0,0
11.3.20,117,5,7,0,0,0
11.3.20,117,6,8,0,2,0
13.3.20,7,1,7,0,5,0
13.3.20,7,2,5,0,2,0
13.3.20,7,3,13,0,5,0
13.3.20,7,4,7,0,3,0
13.3.20,7,5,8,0,4,0
13.3.20,7,6,0,0,2,0
14.3.20,23,1,4,0,0,0
14.3.20,23,2,12,0,0,0
14.3.20,23,3,8,0,0,0
14.3.20,23,4,6,0,1,0
14.3.20,23,5,14,0,0,0
14.3.20,23,6,6,0,0,0
16.3.20,158,1,4,3,1,0
16.3.20,158,2,5,4,1,0
16.3.20,158,3,0,4,4,0
16.3.20,158,4,6,0,3,0
16.3.20,158,5,3,0,4,0
16.3.20,158,6,6,1,0,0
22.3.20,30,1,21,1,0,0
22.3.20,30,2,32,0,0,0
22.3.20,30,3,15,0,0,0
22.3.20,30,4,14,0,0,0
22.3.20,30,5,16,0,0,0
22.3.20,30,6,9,0,0,0
19.3.20,124,1,21,1,0,0
19.3.20,124,2,32,0,0,0
19.3.20,124,3,15,0,0,0
19.3.20,124,4,14,0,0,0
19.3.20,124,5,16,0,0,0
19.3.20,124,6,9,0,0,0
5.3.20,122,1,5,0,0,0
5.3.20,122,2,8,0,0,0
5.3.20,122,3,9,0,3,0
5.3.20,122,4,16,0,0,0
5.3.20,122,5,10,0,4,0
5.3.20,122,6,4,0,2,0
1.3.20,121,1,3,0,6,0
1.3.20,121,2,4,0,0,0
1.3.20,121,3,2,0,11,0
1.3.20,121,4,5,0,8,0
1.3.20,121,5,3,1,5,0
1.3.20,121,6,4,0,0,0
2.3.20,119,1,11,0,0,0
2.3.20,119,2,8,0,0,0
2.3.20,119,3,6,0,7,0
2.3.20,119,4,7,0,0,0
2.3.20,119,5,9,0,6,0
2.3.20,119,6,13,0,0,0
24.3.20,118,1,2,0,0,0
24.3.20,118,2,4,0,0,0
24.3.20,118,3,3,0,0,0
24.3.20,118,4,1,1,0,0
24.3.20,118,5,6,0,0,4
24.3.20,118,6,0,2,0,2
21.3.20,12,1,3,0,0,0
21.3.20,12,2,1,1,0,0
21.3.20,12,3,5,0,0,0
21.3.20,12,4,6,0,0,0
21.3.20,12,5,3,1,0,0
21.3.20,12,6,3,0,0,0
21.3.20,14,1,5,0,0,1
21.3.20,14,2,5,0,0,0
21.3.20,14,3,5,1,0,1
21.3.20,14,4,4,0,0,0
21.3.20,14,5,5,0,0,0
21.3.20,14,6,8,0,0,0
9.3.20,156,1,4,0,8,0
9.3.20,156,2,0,2,9,0
9.3.20,156,3,6,0,6,0
9.3.20,156,4,5,0,0,2
9.3.20,156,5,3,1,1,1
9.3.20,156,6,10,0,4,0
8.3.20,152,1,9,0,0,0
8.3.20,152,2,7,0,2,0
8.3.20,152,3,4,1,0,0
8.3.20,152,4,5,1,0,0
8.3.20,152,5,6,2,3,0
8.3.20,152,6,2,0,0,1
25.3.20,154,1,3,0,0,1
25.3.20,154,2,7,1,0,0
25.3.20,154,3,4,0,7,0
25.3.20,154,4,5,0,4,0
25.3.20,154,5,8,0,0,0
25.3.20,154,6,3,2,4,0
18.3.20,163,1,3,0,0,0
18.3.20,163,2,4,0,0,0
18.3.20,163,3,4,0,0,0
18.3.20,163,4,3,0,2,0
18.3.20,163,5,4,0,2,0
18.3.20,163,6,4,0,0,0
20.3.20,151,1,0,3,0,0
20.3.20,151,2,2,0,3,0
20.3.20,151,3,5,0,2,0
20.3.20,151,4,0,0,3,0
20.3.20,151,5,0,0,2,0
20.3.20,151,6,0,0,5,0
